Executing for 1 clock cycle(s)
Phase: init_state
Phase: hierarchy traversal — 79 module(s)
Phase: base_store — 79 module(s)
Phase: collecting SVA assertions
  Found 0 assertion(s) (0 immediate, 0 concurrent), 0 with Z3 expressions
Phase: explore_block
explore_block: or1200_dc_fsm (38 paths)
explore_block: or1200_dpram_256x32 (3 paths)
explore_block: or1200_dpram_256x32 (2 paths)
explore_block: or1200_dpram_32x32 (3 paths)
explore_block: or1200_dpram_32x32 (2 paths)
explore_block: or1200_fpu_arith (1 paths)
explore_block: or1200_fpu_arith (1 paths)
explore_block: or1200_fpu_arith (4 paths)
explore_block: or1200_fpu_arith (4 paths)
explore_block: or1200_fpu_arith (7 paths)
explore_block: fpu_prenorm_addsub (1 paths)
explore_block: fpu_prenorm_addsub (1 paths)
explore_block: fpu_prenorm_addsub (4 paths)
explore_block: fpu_prenorm_addsub (29 paths)
explore_block: fpu_addsub (1 paths)
explore_block: fpu_postnorm_addsub (1 paths)
explore_block: fpu_postnorm_addsub (28 paths)
explore_block: fpu_postnorm_addsub (4 paths)
explore_block: fpu_postnorm_addsub (2 paths)
explore_block: fpu_pre_norm_mul (1 paths)
explore_block: fpu_mul (1 paths)
explore_block: fpu_mul (1 paths)
explore_block: fpu_mul (4 paths)
explore_block: fpu_mul (3 paths)
explore_block: fpu_post_norm_mul (1 paths)
explore_block: fpu_post_norm_mul (1 paths)
explore_block: fpu_post_norm_mul (48 paths)
explore_block: fpu_post_norm_mul (49 paths)
explore_block: fpu_post_norm_mul (8 paths)
explore_block: fpu_post_norm_mul (2 paths)
explore_block: fpu_post_norm_mul (2 paths)
explore_block: fpu_pre_norm_div (1 paths)
explore_block: fpu_pre_norm_div (25 paths)
explore_block: fpu_pre_norm_div (25 paths)
explore_block: fpu_pre_norm_div (1 paths)
explore_block: fpu_div (1 paths)
explore_block: fpu_div (4 paths)
explore_block: fpu_div (4 paths)
explore_block: fpu_post_norm_div (1 paths)
explore_block: fpu_post_norm_div (1 paths)
explore_block: fpu_post_norm_div (2 paths)
explore_block: fpu_post_norm_div (1 paths)
explore_block: fpu_post_norm_div (1 paths)
explore_block: fpu_post_norm_div (2 paths)
explore_block: fpu_post_norm_div (28 paths)
explore_block: fpu_post_norm_div (1 paths)
explore_block: or1200_fpu_fcmp (28 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (2 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: or1200_fpu_intfloat_conv (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u0 (1 paths)
explore_block: u4 (48 paths)
explore_block: u4 (1 paths)
explore_block: u4 (1 paths)
explore_block: u4 (1 paths)
explore_block: u4 (3 paths)
explore_block: u4 (3 paths)
explore_block: or1200_rfram_generic (34 paths)
explore_block: or1200_rfram_generic (3 paths)
explore_block: or1200_rfram_generic (32 paths)
explore_block: or1200_rfram_generic (3 paths)
explore_block: or1200_rfram_generic (32 paths)
explore_block: or1200_sb_fifo (18 paths)
explore_block: or1200_spram_1024x32 (3 paths)
explore_block: or1200_spram_1024x32 (2 paths)
explore_block: or1200_spram_1024x32_bw (3 paths)
explore_block: or1200_spram_1024x32_bw (2 paths)
explore_block: or1200_spram_1024x32_bw (2 paths)
explore_block: or1200_spram_1024x32_bw (2 paths)
explore_block: or1200_spram_1024x32_bw (2 paths)
explore_block: or1200_spram_1024x8 (3 paths)
explore_block: or1200_spram_1024x8 (2 paths)
explore_block: or1200_spram_128x32 (3 paths)
explore_block: or1200_spram_128x32 (2 paths)
explore_block: or1200_spram_2048x32 (3 paths)
explore_block: or1200_spram_2048x32 (2 paths)
explore_block: or1200_spram_2048x32_bw (3 paths)
explore_block: or1200_spram_2048x32_bw (2 paths)
explore_block: or1200_spram_2048x32_bw (2 paths)
explore_block: or1200_spram_2048x32_bw (2 paths)
explore_block: or1200_spram_2048x32_bw (2 paths)
explore_block: or1200_spram_2048x8 (3 paths)
explore_block: or1200_spram_2048x8 (2 paths)
